genus,species,cultivar,gender,common_name,usda_code,itree_code,flowering,flower_time,fall_color,edible,fruiting_time,wildlife,native,webpage_link
afrocarpus,gracilior,,,Fern Pine,,,,,,,,,,
podocarpus,gracilior,,,Fern Pine,,,,,,,,,,
Platycladus,orientalis,,,Morpankhi,,,,,,,,,,
thuja,orientalis,,,Morpankhi,,,,,,,,,,
agathis,robusta,,,Kauri Pine,,,,,,,,,,
araucaria,bidwillii,,,Bunya Pine,,,,,,,,,,
araucaria,columnaris,,,New Caledonian Pine,,,,,,,,,,
araucaria,cunninghamii,,,Hoop Pine,,,,,,,,,,
araucaria,heterophylla,,,Christmas Tree,,,,,,,,,,
araucaria,hunsteinii,,,Klinki Pine,,,,,,,,,,
podocarpus,neriifolius,,,Yellow Wood,,,,,,,,,,
taxodium,distichum,,,Bald Cypress,,,,,,,,,,
cycas,circinalis,,,Queen Sago,,,,,,,,,,
cycas,pectinata,,,Thakal,,,,,,,,,,
cycas,revoluta,,,Sago Palm,,,,,,,,,,
cycas,rumphii,,,Indonesian Cycas,,,,,,,,,,
cycas,thouarsii,,,Samble,,,,,,,,,,
cycas,zeylanica,,,Andaman Cycas,,,,,,,,,,
bambusa,arundinacea,,,Thorny Bamboo,,,,,,,,,,
bambusa,ventricosa,,,Buddha's Belly Bamboo,,,,,,,,,,
bambusa,vulgaris,,,Golden Bamboo,,,,,,,,,,
dendrocalamus,giganteus,,,Giant Bamboo,,,,,,,,,,
dendrocalamus,strictus,,,Velu,,,,,,,,,,
schizostachyum,lumampao,,,Philippines Bamboo,,,,,,,,,,
stereospermum,chelonoides,,,,,,,,,,,,,
vateria,indica,,,,,,,,,,,,,
bischofia,javanica,,,,,,,,,,,,,
excoecaria,agallocha,,,,,,,,,,,,,
kandelia,candel,,,,,,,,,,,,,
rhizophora,mucronata,,,,,,,,,,,,,
canarium,strictum,,,,,,,,,,,,,
xylocarpus,granatum,,,,,,,,,,,,,
bruguiera,gymnorrhiza,,,,,,,,,,,,,
cleistanthus,collinus,,,Garari,,,,,,,,,,
commiphora,stocksiana,,,Bayi,,,,,,,,,,
koelreuteria,bipinnata,,,Golden Rain Tree,,,,,,,,,,
paraserianthes,lophantha,,,Cape Wattle,,,,,,,,,,
